##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Smelt2F_S432_L004_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
1105	30-34	-0.08754413904722469
1105	35-39	-0.09781574610338595
1105	40-44	-0.11911573001069797
1105	45-49	-0.10136804817489775
1105	50-54	-0.13145075613810775
1105	55-59	-0.1585585197558501
1105	60-64	-0.15492053282096663
1105	65-69	-0.15850788633070323
1105	70-74	-0.1690460152346489
1105	75-79	-0.18740710180571796
1105	80-84	-0.20302536271089622
1105	85-89	-0.2201861931612541
1105	90-94	-0.2083690137485803
1105	95-99	-0.18730773783455135
1105	100-104	-0.23600699591204233
1105	105-109	-0.18806636310463176
1105	110-114	-0.23919314115724433
1105	115-119	-0.18379285028501613
1105	120-124	-0.25861440078674036
1105	125-129	-0.11103494773254141
1105	130-134	-0.23551743641562695
1105	135-139	-0.3227134677086987
1105	140-144	-0.23620073992348622
1105	145-149	-0.25480947581057833
1105	150-151	-0.18084461879123737
1106	1	0.007163726648357738
1106	2	0.016813501913809148
1106	3	0.016887097701996368
1106	4	-0.021062985543856882
1106	5	-0.01563550783885148
1106	6	-0.0034277347201623343
1106	7	-0.009526114455070456
1106	8	-0.007709913474428731
1106	9	-0.04556432345174244
1106	10-14	-0.012153771024436821
1106	15-19	-0.017351817891217536
1106	20-24	-0.05034932127195901
1106	25-29	-0.01801359856656859
1106	30-34	-0.037502799817104915
1106	35-39	-0.03974299820668392
1106	40-44	-0.04528608843815363
1106	45-49	-0.07624934819627072
1106	50-54	-0.09289128907005306
1106	55-59	-0.09777449292450058
1106	60-64	-0.1411515349238428
1106	65-69	-0.10562368806172628
1106	70-74	-0.14147332341274677
1106	75-79	-0.1791462083475679
1106	80-84	-0.17532956755916018
1106	85-89	-0.15967241913053698
1106	90-94	-0.16276949713395794
1106	95-99	-0.12486828450879983
1106	100-104	-0.19102862584816904
1106	105-109	-0.11815728261247216
1106	110-114	-0.15780126795036864
1106	115-119	-0.14187615878507387
1106	120-124	-0.17880425621103768
1106	125-129	-0.08182671040290757
1106	130-134	-0.14886002095297002
1106	135-139	-0.19807421404361492
1106	140-144	-0.1321639093761
1106	145-149	-0.15962253737354715
1106	150-151	-0.082912454128941
1107	1	-0.013451446977832404
1107	2	0.009952425524843989
1107	3	-0.03214765978842138
1107	4	-0.0034221217453307418
1107	5	0.002808724082797198
1107	6	-0.03231247167715168
1107	7	-0.025998671344474644
1107	8	-0.017976051470334653
1107	9	-0.013316267313811636
1107	10-14	-0.026091136020724548
1107	15-19	-0.03225514353387382
1107	20-24	-0.050788659814692494
1107	25-29	-0.03282733140170535
1107	30-34	-0.041065884002136954
1107	35-39	-0.04849997678148554
1107	40-44	-0.054195286310417146
1107	45-49	-0.0705719411500283
1107	50-54	-0.08110393602203203
1107	55-59	-0.16033689940864804
1107	60-64	-0.13312776160646678
1107	65-69	-0.13085020943969994
1107	70-74	-0.17169634143084522
1107	75-79	-0.18259177583230013
1107	80-84	-0.1920980250066009
1107	85-89	-0.19147494416802857
1107	90-94	-0.19131312795092725
1107	95-99	-0.16343822044345302
1107	100-104	-0.2313607261405437
1107	105-109	-0.19317579928813444
1107	110-114	-0.21676522368590412
1107	115-119	-0.1610336526977676
1107	120-124	-0.25685776085555645
1107	125-129	-0.17520324778076812
1107	130-134	-0.22027402533073825
1107	135-139	-0.3094170745988585
1107	140-144	-0.24203412223739562
1107	145-149	-0.2659515703374318
1107	150-151	-0.2389949268248195
1108	1	-0.025635839852377273
1108	2	-0.03190528329788833
1108	3	-0.06209488852170608
1108	4	-0.04537118394400608
1108	5	-0.021882066761172325
1108	6	-0.0601631288493536
1108	7	-0.04041654113526505
1108	8	-0.04304673712244522
1108	9	-0.06415238263530654
1108	10-14	-0.036518846817784834
1108	15-19	-0.049432018862859195
1108	20-24	-0.08495599219308758
1108	25-29	-0.056074739793430695
1108	30-34	-0.06316599487743702
1108	35-39	-0.10167638494881714
1108	40-44	-0.09033388041201107
1108	45-49	-0.10302242280455687
1108	50-54	-0.14971421164442944
1108	55-59	-0.16096763632683064
1108	60-64	-0.18120823790471263
1108	65-69	-0.17107629172349448
1108	70-74	-0.21146020843834634
1108	75-79	-0.20036602436132256
1108	80-84	-0.23445567239318876
1108	85-89	-0.22821416179686338
1108	90-94	-0.23189410808361544
1108	95-99	-0.21908732469275805
1108	100-104	-0.25734326726518475
1108	105-109	-0.24417630577341498
1108	110-114	-0.2639295344706909
1108	115-119	-0.2218473925977058
1108	120-124	-0.286496068794051
1108	125-129	-0.19994548653189526
1108	130-134	-0.2931011855147929
1108	135-139	-0.34511202064874524
1108	140-144	-0.28609512765988043
1108	145-149	-0.31620831596444887
1108	150-151	-0.3191625260834918
1109	1	-0.0075850496277851676
1109	2	0.00822055481265238
1109	3	-0.011067948302532216
1109	4	-0.003638990712353518
1109	5	-0.029710749585078133
1109	6	-0.03498276162800806
1109	7	-0.007001572423874336
1109	8	-0.04578278768066468
1109	9	-0.023814672907853662
1109	10-14	-0.021596780903614388
1109	15-19	-0.032628905265553954
1109	20-24	-0.06395413704646558
1109	25-29	-0.030148692354806883
1109	30-34	-0.0580146224042295
1109	35-39	-0.06607133425445966
1109	40-44	-0.060767841583349025
1109	45-49	-0.07561407040131485
1109	50-54	-0.0984269725413327
1109	55-59	-0.12106359451140492
1109	60-64	-0.1303555584067837
1109	65-69	-0.10960062657521519
1109	70-74	-0.11382311193408867
1109	75-79	-0.16748267693315455
1109	80-84	-0.16619661317605505
1109	85-89	-0.15317055266483237
1109	90-94	-0.13614972129497005
1109	95-99	-0.11087569928335483
1109	100-104	-0.18833837061374936
1109	105-109	-0.12217292822077752
1109	110-114	-0.13380258702413528
1109	115-119	-0.14641461540504963
1109	120-124	-0.20966333170449047
1109	125-129	-0.09476438800356846
1109	130-134	-0.1436634575653919
1109	135-139	-0.23133987876105877
1109	140-144	-0.2205604611290859
1109	145-149	-0.23051715106606707
1109	150-151	-0.17853469240391107
1110	1	0.026548763260372255
1110	2	0.004361223145750159
1110	3	0.0130285021462484
1110	4	0.002433831827701738
1110	5	0.004650300959816889
1110	6	-0.03143684055059026
1110	7	-0.0055291233912200255
1110	8	-0.007121069440280792
1110	9	-0.02512806249434618
1110	10-14	-0.017713805969279406
1110	15-19	-0.021221303319201468
1110	20-24	-0.05350716998695759
1110	25-29	-0.0240794652137879
1110	30-34	-0.040985644388591425
1110	35-39	-0.06960306979685527
1110	40-44	-0.053559466096885444
1110	45-49	-0.10115903163729456
1110	50-54	-0.10272129430967425
1110	55-59	-0.11440678606654586
1110	60-64	-0.1160275479516244
1110	65-69	-0.12899915691252062
1110	70-74	-0.15388936052047342
1110	75-79	-0.1456037807505126
1110	80-84	-0.15414123845761907
1110	85-89	-0.15436827789936558
1110	90-94	-0.16225671881010584
1110	95-99	-0.1054854530205418
1110	100-104	-0.19868978323437148
1110	105-109	-0.1561740804218985
1110	110-114	-0.14150653159344984
1110	115-119	-0.13985683979961294
1110	120-124	-0.19971494307078785
1110	125-129	-0.07756841556239635
1110	130-134	-0.14604704970576066
1110	135-139	-0.2241186327316811
1110	140-144	-0.16701852296388253
1110	145-149	-0.2053881871767551
1110	150-151	-0.1616972049293075
1111	1	-0.01585370017792087
1111	2	0.03148334146360554
1111	3	-0.03778896604457316
1111	4	-0.003164741089769052
1111	5	-0.01178071264102698
1111	6	-0.0032333706173730548
1111	7	-0.025783748072903734
1111	8	0.010402953690984873
1111	9	-0.023059375695481776
1111	10-14	-0.02151524060600707
1111	15-19	-0.021936951078366462
1111	20-24	-0.04258396132453157
1111	25-29	-0.019473185411051475
1111	30-34	-0.021784046968868154
1111	35-39	-0.03391558762528746
1111	40-44	-0.01650808126558445
1111	45-49	-0.054142169261311324
1111	50-54	-0.0671030046532195
1111	55-59	-0.08708465087313044
1111	60-64	-0.11163560949508167
1111	65-69	-0.09594767884986055
1111	70-74	-0.11322705168355895
1111	75-79	-0.10401960602605698
1111	80-84	-0.10935632641363924
1111	85-89	-0.14215746523263562
1111	90-94	-0.14659865289243612
1111	95-99	-0.10295322099782567
1111	100-104	-0.159074856741519
1111	105-109	-0.11043933609784773
1111	110-114	-0.1658300562084989
1111	115-119	-0.10786552682578332
1111	120-124	-0.20694144830127215
1111	125-129	-0.06978383973802593
1111	130-134	-0.15673084999719578
1111	135-139	-0.23219226564809148
1111	140-144	-0.19375820282108336
1111	145-149	-0.20715467733178272
1111	150-151	-0.17624803146190615
1112	1	2.5670859925241984E-4
1112	2	0.040553549079746176
1112	3	-0.003757747641607523
1112	4	-0.017199880970672154
1112	5	-0.004232090950203826
1112	6	0.022403001029253744
1112	7	0.022781252355500214
1112	8	-0.0023563351444835234
1112	9	-0.01206785657755205
1112	10-14	-0.007259155663653871
1112	15-19	-0.012731558507148577
1112	20-24	-0.04526747926340846
1112	25-29	-0.024802743191813192
1112	30-34	-0.030145403443953
1112	35-39	-0.055381814755712355
1112	40-44	-0.057522652986691014
1112	45-49	-0.06020850852302573
1112	50-54	-0.09038157450003581
1112	55-59	-0.12264266329497531
1112	60-64	-0.13268829187551034
1112	65-69	-0.11661145044489274
1112	70-74	-0.15006139558916942
1112	75-79	-0.1297169690963429
1112	80-84	-0.18003158292685129
1112	85-89	-0.17832228111942072
1112	90-94	-0.2120467910225159
1112	95-99	-0.1422014982401265
1112	100-104	-0.20570220747919166
1112	105-109	-0.16181381313940335
1112	110-114	-0.1809492940745301
1112	115-119	-0.13109875652653358
1112	120-124	-0.2073003595317573
1112	125-129	-0.09854461478859378
1112	130-134	-0.19586022541387393
1112	135-139	-0.22920207007115323
1112	140-144	-0.1904147477800251
1112	145-149	-0.1935787657138235
1112	150-151	-0.19156038555429689
1113	1	-0.028575991256445832
1113	2	0.0415367003869207
1113	3	-0.029398949512597028
1113	4	-0.01521569111696408
1113	5	-0.002239816266062178
1113	6	-0.021133924996895814
1113	7	-0.0018951663873423286
1113	8	-7.562444216517861E-4
1113	9	-0.009344075745026714
1113	10-14	-0.010813898137669753
1113	15-19	-0.01447234200398384
1113	20-24	-0.020590813635251948
1113	25-29	0.0021590696493660744
1113	30-34	-0.0030158790183349993
1113	35-39	-0.023093100049869975
1113	40-44	-0.02646480196992229
1113	45-49	-0.044209295246538716
1113	50-54	-0.052774735543174245
1113	55-59	-0.05160297215328313
1113	60-64	-0.059272545303514335
1113	65-69	-0.07887006195514346
1113	70-74	-0.09816491621270274
1113	75-79	-0.0890587792148736
1113	80-84	-0.0689057561530575
1113	85-89	-0.09889774619119152
1113	90-94	-0.11923796510077267
1113	95-99	-0.06442737342112537
1113	100-104	-0.09682185265172194
1113	105-109	-0.11753761717383782
1113	110-114	-0.08712781697048655
1113	115-119	-0.0869494201471781
1113	120-124	-0.13619938464093195
1113	125-129	-0.011483234869221093
1113	130-134	-0.12397333208985017
1113	135-139	-0.19180480267924338
1113	140-144	-0.14061932314719172
1113	145-149	-0.15975036175111157
1113	150-151	-0.1687146258547294
1114	1	-0.008556102045943703
1114	2	-0.009661197866158489
1114	3	-0.01391525941172489
1114	4	-0.02845041783228197
1114	5	-0.019957562397934225
1114	6	-0.052870981224508284
1114	7	-0.011249111759042307
1114	8	-0.010490013999408632
1114	9	-0.03125867679927552
1114	10-14	-0.04462190242501407
1114	15-19	-0.030177025488683284
1114	20-24	-0.07639458522925224
1114	25-29	-0.02826128530229255
1114	30-34	-0.03950163597609446
1114	35-39	-0.06340031993100581
1114	40-44	-0.07137146778175207
1114	45-49	-0.06538535544676449
1114	50-54	-0.0744067486688138
1114	55-59	-0.12082195525037775
1114	60-64	-0.11711531798000152
1114	65-69	-0.12693543756918757
1114	70-74	-0.13714975826592024
1114	75-79	-0.14931003927370767
1114	80-84	-0.15818840147761648
1114	85-89	-0.14500395337043415
1114	90-94	-0.15925594217171835
1114	95-99	-0.1717199993900138
1114	100-104	-0.2171526578438261
1114	105-109	-0.17192562059502592
1114	110-114	-0.18405778550931018
1114	115-119	-0.16201031232791507
1114	120-124	-0.20139704985937712
1114	125-129	-0.09126532685752409
1114	130-134	-0.1765171613765233
1114	135-139	-0.2717451914304654
1114	140-144	-0.1745233316270287
1114	145-149	-0.21601141625897569
1114	150-151	-0.17144098158142285
1115	1	0.03364446831214707
1115	2	0.016949848802298106
1115	3	0.0021241161727374447
1115	4	-0.0032146232278620346
1115	5	-0.010347350631604968
1115	6	-0.016660118697586768
1115	7	0.0016151097489967015
1115	8	-0.0276472395347227
1115	9	-0.008948480576485451
1115	10-14	-0.009102166374752585
1115	15-19	-0.018317168952734164
1115	20-24	-0.03258224370805607
1115	25-29	-0.04769745255520519
1115	30-34	-0.03757386182258671
1115	35-39	-0.041783991173254265
1115	40-44	-0.02134169484806847
1115	45-49	-0.04387703463974191
1115	50-54	-0.04462121839105748
1115	55-59	-0.04816914261468952
1115	60-64	-0.08903018433341003
1115	65-69	-0.08709123546595521
1115	70-74	-0.09385010661804216
1115	75-79	-0.086460857522205
1115	80-84	-0.07948600768643388
